column_name,strategy,missing_before,fill_value
CompTotal,median,5376,115000.0
WorkExp,median,6571,10.0
JobSatPoints_1,median,6708,10.0
JobSatPoints_4,median,6682,0.0
JobSatPoints_5,median,6675,0.0
JobSatPoints_6,median,6660,20.0
JobSatPoints_7,median,6660,15.0
JobSatPoints_8,median,6654,15.0
JobSatPoints_9,median,6661,10.0
JobSatPoints_10,median,6658,0.0
JobSatPoints_11,median,6663,0.0
JobSat,median,6734,8.0
ConvertedCompYearly,median,9295,65857.5
RemoteWork,mode,6,Remote
EdLevel,mode,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
OrgSize,mode,875,20 to 99 employees
PurchaseInfluence,mode,888,I have some influence
BuildvsBuy,mode,1794,Is ready-to-go but also customizable for growth and targeted use cases
SOVisitFreq,mode,170,A few times per week
SOAccount,mode,163,Yes
SOPartFreq,mode,3539,Less than once per month or monthly
SOComm,mode,195,"No, not really"
AISelect,mode,58,Yes
AISent,mode,3449,Favorable
AIAcc,mode,5874,Somewhat trust
AIComplex,mode,5921,"Good, but not great at handling complex tasks"
AIThreat,mode,3476,No
TBranch,mode,1717,Yes
ICorPM,mode,6533,Individual contributor
Knowledge_1,mode,6926,Agree
Knowledge_2,mode,7163,Agree
Knowledge_3,mode,7136,Agree
Knowledge_4,mode,7152,Agree
Knowledge_5,mode,7205,Agree
Knowledge_6,mode,7208,Agree
Knowledge_7,mode,7250,Agree
Knowledge_8,mode,7261,Agree
Knowledge_9,mode,7289,Agree
Frequency_1,mode,7023,1-2 times a week
Frequency_2,mode,7028,1-2 times a week
Frequency_3,mode,7262,1-2 times a week
TimeSearching,mode,6827,30-60 minutes a day
TimeAnswering,mode,6855,15-30 minutes a day
ProfessionalCloud,mode,6856,Cloud only (single or multi-cloud)
ProfessionalQuestion,mode,6842,Traditional public search engine
Industry,mode,6819,Software Development
SurveyLength,mode,520,Appropriate in length
SurveyEase,mode,509,Easy
LearnCode,not_specified,37,Not specified
LearnCodeOnline,not_specified,2914,Not specified
TechDoc,not_specified,4971,Not specified
YearsCode,not_specified,51,Not specified
YearsCodePro,not_specified,776,Not specified
DevType,not_specified,44,Not specified
BuyNewTool,not_specified,1339,Not specified
TechEndorse,not_specified,1513,Not specified
Country,not_specified,0,Not specified
Currency,not_specified,820,Not specified
LanguageHaveWorkedWith,not_specified,0,Not specified
LanguageWantToWorkWith,not_specified,0,Not specified
LanguageAdmired,not_specified,0,Not specified
DatabaseHaveWorkedWith,not_specified,0,Not specified
DatabaseWantToWorkWith,not_specified,0,Not specified
DatabaseAdmired,not_specified,0,Not specified
PlatformHaveWorkedWith,not_specified,0,Not specified
PlatformWantToWorkWith,not_specified,0,Not specified
PlatformAdmired,not_specified,0,Not specified
WebframeHaveWorkedWith,not_specified,0,Not specified
WebframeWantToWorkWith,not_specified,0,Not specified
WebframeAdmired,not_specified,0,Not specified
EmbeddedHaveWorkedWith,not_specified,11943,Not specified
EmbeddedWantToWorkWith,not_specified,12932,Not specified
EmbeddedAdmired,not_specified,13064,Not specified
MiscTechHaveWorkedWith,not_specified,4787,Not specified
MiscTechWantToWorkWith,not_specified,5776,Not specified
MiscTechAdmired,not_specified,6458,Not specified
ToolsTechHaveWorkedWith,not_specified,639,Not specified
ToolsTechWantToWorkWith,not_specified,911,Not specified
ToolsTechAdmired,not_specified,1047,Not specified
NEWCollabToolsHaveWorkedWith,not_specified,146,Not specified
NEWCollabToolsWantToWorkWith,not_specified,299,Not specified
NEWCollabToolsAdmired,not_specified,366,Not specified
OpSysPersonal use,not_specified,144,Not specified
OpSysProfessional use,not_specified,221,Not specified
OfficeStackAsyncHaveWorkedWith,not_specified,1626,Not specified
OfficeStackAsyncWantToWorkWith,not_specified,2840,Not specified
OfficeStackAsyncAdmired,not_specified,3192,Not specified
OfficeStackSyncHaveWorkedWith,not_specified,385,Not specified
OfficeStackSyncWantToWorkWith,not_specified,1186,Not specified
OfficeStackSyncAdmired,not_specified,1574,Not specified
AISearchDevHaveWorkedWith,not_specified,2977,Not specified
AISearchDevWantToWorkWith,not_specified,4132,Not specified
AISearchDevAdmired,not_specified,4299,Not specified
NEWSOSites,not_specified,72,Not specified
SOHow,not_specified,267,Not specified
AIBen,not_specified,6007,Not specified
AIToolCurrently Using,not_specified,6314,Not specified
AIToolInterested in Using,not_specified,7656,Not specified
AIToolNot interested in Using,not_specified,10067,Not specified
AINextMuch more integrated,not_specified,13676,Not specified
AINextNo change,not_specified,14468,Not specified
AINextMore integrated,not_specified,9816,Not specified
AINextLess integrated,not_specified,18093,Not specified
AINextMuch less integrated,not_specified,18492,Not specified
AIEthics,not_specified,4279,Not specified
AIChallenges,not_specified,5137,Not specified
Frustration,not_specified,7054,Not specified
ProfessionalTech,not_specified,7169,Not specified
