column_name,missing_before,missing_after
AINextMuch less integrated,18492.0,0
AINextLess integrated,18093.0,0
AINextNo change,14468.0,0
AINextMuch more integrated,13676.0,0
EmbeddedAdmired,13064.0,0
EmbeddedWantToWorkWith,12932.0,0
EmbeddedHaveWorkedWith,11943.0,0
AIToolNot interested in Using,10067.0,0
AINextMore integrated,9816.0,0
ConvertedCompYearly,9295.0,0
AIToolInterested in Using,7656.0,0
Knowledge_9,7289.0,0
Frequency_3,7262.0,0
Knowledge_8,7261.0,0
Knowledge_7,7250.0,0
Knowledge_6,7208.0,0
Knowledge_5,7205.0,0
ProfessionalTech,7169.0,0
Knowledge_2,7163.0,0
Knowledge_4,7152.0,0
Knowledge_3,7136.0,0
Frustration,7054.0,0
Frequency_2,7028.0,0
Frequency_1,7023.0,0
Knowledge_1,6926.0,0
ProfessionalCloud,6856.0,0
TimeAnswering,6855.0,0
ProfessionalQuestion,6842.0,0
TimeSearching,6827.0,0
Industry,6819.0,0
JobSat,6734.0,0
JobSatPoints_1,6708.0,0
JobSatPoints_4,6682.0,0
JobSatPoints_5,6675.0,0
JobSatPoints_11,6663.0,0
JobSatPoints_9,6661.0,0
JobSatPoints_7,6660.0,0
JobSatPoints_6,6660.0,0
JobSatPoints_10,6658.0,0
JobSatPoints_8,6654.0,0
WorkExp,6571.0,0
ICorPM,6533.0,0
MiscTechAdmired,6458.0,0
AIToolCurrently Using,6314.0,0
AIBen,6007.0,0
AIComplex,5921.0,0
AIAcc,5874.0,0
MiscTechWantToWorkWith,5776.0,0
CompTotal,5376.0,0
AIChallenges,5137.0,0
TechDoc,4971.0,0
MiscTechHaveWorkedWith,4787.0,0
AISearchDevAdmired,4299.0,0
AIEthics,4279.0,0
AISearchDevWantToWorkWith,4132.0,0
SOPartFreq,3539.0,0
AIThreat,3476.0,0
AISent,3449.0,0
OfficeStackAsyncAdmired,3192.0,0
AISearchDevHaveWorkedWith,2977.0,0
LearnCodeOnline,2914.0,0
OfficeStackAsyncWantToWorkWith,2840.0,0
BuildvsBuy,1794.0,0
TBranch,1717.0,0
OfficeStackAsyncHaveWorkedWith,1626.0,0
OfficeStackSyncAdmired,1574.0,0
TechEndorse,1513.0,0
BuyNewTool,1339.0,0
OfficeStackSyncWantToWorkWith,1186.0,0
ToolsTechAdmired,1047.0,0
ToolsTechWantToWorkWith,911.0,0
PurchaseInfluence,888.0,0
OrgSize,875.0,0
Currency,820.0,0
YearsCodePro,776.0,0
ToolsTechHaveWorkedWith,639.0,0
SurveyLength,520.0,0
SurveyEase,509.0,0
OfficeStackSyncHaveWorkedWith,385.0,0
NEWCollabToolsAdmired,366.0,0
NEWCollabToolsWantToWorkWith,299.0,0
SOHow,267.0,0
OpSysProfessional use,221.0,0
SOComm,195.0,0
SOVisitFreq,170.0,0
SOAccount,163.0,0
NEWCollabToolsHaveWorkedWith,146.0,0
OpSysPersonal use,144.0,0
NEWSOSites,72.0,0
AISelect,58.0,0
YearsCode,51.0,0
DevType,44.0,0
LearnCode,37.0,0
RemoteWork,6.0,0
LanguageWantToWorkWith,0.0,0
Country,0.0,0
WebframeWantToWorkWith,0.0,0
WebframeHaveWorkedWith,0.0,0
WebframeAdmired,0.0,0
DatabaseWantToWorkWith,0.0,0
EdLevel,0.0,0
DatabaseHaveWorkedWith,0.0,0
DatabaseAdmired,0.0,0
Check,0.0,0
CodingActivities,0.0,0
LanguageHaveWorkedWith,0.0,0
Age,0.0,0
MainBranch,0.0,0
PlatformAdmired,0.0,0
PlatformHaveWorkedWith,0.0,0
LanguageAdmired,0.0,0
PlatformWantToWorkWith,0.0,0
ResponseId,0.0,0
Employment,0.0,0
ConvertedCompYearly_MinMax,,0
ConvertedCompYearly_Zscore,,0
