column_name,dtype,missing_values,non_null_count
ResponseId,int64,0,18845
MainBranch,object,0,18845
Age,object,0,18845
Employment,object,0,18845
RemoteWork,object,6,18839
Check,object,0,18845
CodingActivities,object,0,18845
EdLevel,object,0,18845
LearnCode,object,37,18808
LearnCodeOnline,object,2914,15931
TechDoc,object,4971,13874
YearsCode,object,51,18794
YearsCodePro,object,776,18069
DevType,object,44,18801
OrgSize,object,875,17970
PurchaseInfluence,object,888,17957
BuyNewTool,object,1339,17506
BuildvsBuy,object,1794,17051
TechEndorse,object,1513,17332
Country,object,0,18845
Currency,object,820,18025
CompTotal,float64,5376,13469
LanguageHaveWorkedWith,object,0,18845
LanguageWantToWorkWith,object,0,18845
LanguageAdmired,object,0,18845
DatabaseHaveWorkedWith,object,0,18845
DatabaseWantToWorkWith,object,0,18845
DatabaseAdmired,object,0,18845
PlatformHaveWorkedWith,object,0,18845
PlatformWantToWorkWith,object,0,18845
PlatformAdmired,object,0,18845
WebframeHaveWorkedWith,object,0,18845
WebframeWantToWorkWith,object,0,18845
WebframeAdmired,object,0,18845
EmbeddedHaveWorkedWith,object,11943,6902
EmbeddedWantToWorkWith,object,12932,5913
EmbeddedAdmired,object,13064,5781
MiscTechHaveWorkedWith,object,4787,14058
MiscTechWantToWorkWith,object,5776,13069
MiscTechAdmired,object,6458,12387
ToolsTechHaveWorkedWith,object,639,18206
ToolsTechWantToWorkWith,object,911,17934
ToolsTechAdmired,object,1047,17798
NEWCollabToolsHaveWorkedWith,object,146,18699
NEWCollabToolsWantToWorkWith,object,299,18546
NEWCollabToolsAdmired,object,366,18479
OpSysPersonal use,object,144,18701
OpSysProfessional use,object,221,18624
OfficeStackAsyncHaveWorkedWith,object,1626,17219
OfficeStackAsyncWantToWorkWith,object,2840,16005
OfficeStackAsyncAdmired,object,3192,15653
OfficeStackSyncHaveWorkedWith,object,385,18460
OfficeStackSyncWantToWorkWith,object,1186,17659
OfficeStackSyncAdmired,object,1574,17271
AISearchDevHaveWorkedWith,object,2977,15868
AISearchDevWantToWorkWith,object,4132,14713
AISearchDevAdmired,object,4299,14546
NEWSOSites,object,72,18773
SOVisitFreq,object,170,18675
SOAccount,object,163,18682
SOPartFreq,object,3539,15306
SOHow,object,267,18578
SOComm,object,195,18650
AISelect,object,58,18787
AISent,object,3449,15396
AIBen,object,6007,12838
AIAcc,object,5874,12971
AIComplex,object,5921,12924
AIToolCurrently Using,object,6314,12531
AIToolInterested in Using,object,7656,11189
AIToolNot interested in Using,object,10067,8778
AINextMuch more integrated,object,13676,5169
AINextNo change,object,14468,4377
AINextMore integrated,object,9816,9029
AINextLess integrated,object,18093,752
AINextMuch less integrated,object,18492,353
AIThreat,object,3476,15369
AIEthics,object,4279,14566
AIChallenges,object,5137,13708
TBranch,object,1717,17128
ICorPM,object,6533,12312
WorkExp,float64,6571,12274
Knowledge_1,object,6926,11919
Knowledge_2,object,7163,11682
Knowledge_3,object,7136,11709
Knowledge_4,object,7152,11693
Knowledge_5,object,7205,11640
Knowledge_6,object,7208,11637
Knowledge_7,object,7250,11595
Knowledge_8,object,7261,11584
Knowledge_9,object,7289,11556
Frequency_1,object,7023,11822
Frequency_2,object,7028,11817
Frequency_3,object,7262,11583
TimeSearching,object,6827,12018
TimeAnswering,object,6855,11990
Frustration,object,7054,11791
ProfessionalTech,object,7169,11676
ProfessionalCloud,object,6856,11989
ProfessionalQuestion,object,6842,12003
Industry,object,6819,12026
JobSatPoints_1,float64,6708,12137
JobSatPoints_4,float64,6682,12163
JobSatPoints_5,float64,6675,12170
JobSatPoints_6,float64,6660,12185
JobSatPoints_7,float64,6660,12185
JobSatPoints_8,float64,6654,12191
JobSatPoints_9,float64,6661,12184
JobSatPoints_10,float64,6658,12187
JobSatPoints_11,float64,6663,12182
SurveyLength,object,520,18325
SurveyEase,object,509,18336
ConvertedCompYearly,float64,9295,9550
JobSat,float64,6734,12111
