Employment,count
"Employed, full-time",12664
"Independent contractor, freelancer, or self-employed",1958
"Employed, full-time;Independent contractor, freelancer, or self-employed",1770
"Student, full-time;Employed, part-time",320
"Employed, part-time",295
"Employed, full-time;Student, part-time",281
"Employed, full-time;Student, full-time",254
"Student, part-time;Employed, part-time",172
"Student, full-time;Independent contractor, freelancer, or self-employed",169
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",165
"Independent contractor, freelancer, or self-employed;Employed, part-time",161
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",93
"Employed, full-time;Employed, part-time",87
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",70
"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",58
"Independent contractor, freelancer, or self-employed;Student, part-time",47
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",46
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",33
"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",27
"Employed, full-time;Not employed, but looking for work",20
"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",18
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time",14
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Employed, part-time",12
"Employed, full-time;Student, full-time;Employed, part-time",11
"Not employed, but looking for work;Employed, part-time",8
"Independent contractor, freelancer, or self-employed;Retired",8
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",7
"Student, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",6
"Student, full-time;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",6
"Student, full-time;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",5
"Employed, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",5
"Student, full-time;Not employed, but looking for work;Employed, part-time",4
"Not employed, but looking for work;Student, part-time;Employed, part-time",4
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Retired",3
"Employed, part-time;Retired",3
"Employed, full-time;Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Student, part-time;Employed, part-time;Retired",3
"Independent contractor, freelancer, or self-employed;Employed, part-time;Retired",3
"Student, full-time;Student, part-time;Employed, part-time",3
"Employed, full-time;Student, part-time;Employed, part-time",3
"Employed, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Employed, part-time",2
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",2
"Employed, full-time;Student, full-time;Student, part-time",2
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",2
"Not employed, and not looking for work;Employed, part-time",2
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time",2
"Employed, full-time;Retired",2
"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Retired",2
"Employed, full-time;Not employed, but looking for work;Not employed, and not looking for work;Employed, part-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Employed, part-time",1
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Student, part-time",1
"Independent contractor, freelancer, or self-employed;Student, part-time;Retired",1
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",1
"Not employed, but looking for work;Not employed, and not looking for work;Student, part-time;Employed, part-time",1
"Student, full-time;Not employed, and not looking for work;Employed, part-time",1
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time;Retired",1
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Retired",1
"Employed, full-time;Student, full-time;Student, part-time;Employed, part-time",1
"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Student, part-time",1
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time;Retired",1
"Employed, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Employed, part-time",1
