column_name,dtype,non_null_count,missing_values
ResponseId,int64,18845,0
MainBranch,object,18845,0
Age,object,18845,0
Employment,object,18845,0
RemoteWork,object,18845,0
EdLevel,object,18845,0
YearsCode,object,18845,0
YearsCodePro,object,18845,0
DevType,object,18845,0
OrgSize,object,18845,0
Country,object,18845,0
Currency,object,18845,0
CompTotal,float64,18845,0
ConvertedCompYearly,float64,18845,0
ConvertedCompYearly_MinMax,float64,18845,0
ConvertedCompYearly_Zscore,float64,18845,0
WorkExp,float64,18845,0
Industry,object,18845,0
JobSat,float64,18845,0
JobSatPoints_6,float64,18845,0
LanguageHaveWorkedWith,object,18845,0
LanguageWantToWorkWith,object,18845,0
LanguageAdmired,object,18845,0
DatabaseHaveWorkedWith,object,18845,0
DatabaseWantToWorkWith,object,18845,0
DatabaseAdmired,object,18845,0
PlatformHaveWorkedWith,object,18845,0
PlatformWantToWorkWith,object,18845,0
PlatformAdmired,object,18845,0
WebframeHaveWorkedWith,object,18845,0
WebframeWantToWorkWith,object,18845,0
WebframeAdmired,object,18845,0
